8644 records from preverb1.txt
DBG: anu-star. PreverbSandhi=>anuzwar, ScharfSandhi=>anustar
DBG: nis-star. PreverbSandhi=>niHstar, ScharfSandhi=>nisstar
DBG: ati-stu. PreverbSandhi=>atizwu, ScharfSandhi=>atistu
DBG: anu-stu. PreverbSandhi=>anuzwu, ScharfSandhi=>anustu
DBG: aBi-stu. PreverbSandhi=>aBizwu, ScharfSandhi=>aBistu
DBG: samaBi-stu. PreverbSandhi=>samaBizwu, ScharfSandhi=>samaBistu
DBG: ni-stu. PreverbSandhi=>nizwu, ScharfSandhi=>nistu
DBG: pari-stu. PreverbSandhi=>parizwu, ScharfSandhi=>paristu
DBG: prati-stu. PreverbSandhi=>pratizwu, ScharfSandhi=>pratistu
DBG: vi-stu. PreverbSandhi=>vizwu, ScharfSandhi=>vistu
DBG: anu-stuB. PreverbSandhi=>anuzwuB, ScharfSandhi=>anustuB
DBG: aBi-stuB. PreverbSandhi=>aBizwuB, ScharfSandhi=>aBistuB
DBG: pari-stuB. PreverbSandhi=>parizwuB, ScharfSandhi=>paristuB
DBG: prati-stuB. PreverbSandhi=>pratizwuB, ScharfSandhi=>pratistuB
DBG: vi-stuB. PreverbSandhi=>vizwuB, ScharfSandhi=>vistuB
DBG: ni-styA. PreverbSandhi=>nizwyA, ScharfSandhi=>nistyA
DBG: ati-sTA. PreverbSandhi=>atizWA, ScharfSandhi=>atisTA
DBG: vyati-sTA. PreverbSandhi=>vyatizWA, ScharfSandhi=>vyatisTA
DBG: aDi-sTA. PreverbSandhi=>aDizWA, ScharfSandhi=>aDisTA
DBG: samaDi-sTA. PreverbSandhi=>samaDizWA, ScharfSandhi=>samaDisTA
DBG: anu-sTA. PreverbSandhi=>anuzWA, ScharfSandhi=>anusTA
DBG: samanu-sTA. PreverbSandhi=>samanuzWA, ScharfSandhi=>samanusTA
DBG: antar-sTA. PreverbSandhi=>antaHsTA, ScharfSandhi=>antassTA
DBG: api-sTA. PreverbSandhi=>apizWA, ScharfSandhi=>apisTA
DBG: aBi-sTA. PreverbSandhi=>aBizWA, ScharfSandhi=>aBisTA
DBG: samaBi-sTA. PreverbSandhi=>samaBizWA, ScharfSandhi=>samaBisTA
DBG: ni-sTA. PreverbSandhi=>nizWA, ScharfSandhi=>nisTA
DBG: parini-sTA. PreverbSandhi=>parinizWA, ScharfSandhi=>parinisTA
DBG: nis-sTA. PreverbSandhi=>niHsTA, ScharfSandhi=>nissTA
DBG: parinis-sTA. PreverbSandhi=>pariniHsTA, ScharfSandhi=>parinissTA
DBG: pari-sTA. PreverbSandhi=>parizWA, ScharfSandhi=>parisTA
DBG: prati-sTA. PreverbSandhi=>pratizWA, ScharfSandhi=>pratisTA
DBG: anuprati-sTA. PreverbSandhi=>anupratizWA, ScharfSandhi=>anupratisTA
DBG: saMprati-sTA. PreverbSandhi=>saMpratizWA, ScharfSandhi=>saMpratisTA
DBG: vi-sTA. PreverbSandhi=>vizWA, ScharfSandhi=>visTA
DBG: anuvi-sTA. PreverbSandhi=>anuvizWA, ScharfSandhi=>anuvisTA
DBG: aBivi-sTA. PreverbSandhi=>aBivizWA, ScharfSandhi=>aBivisTA
DBG: upavi-sTA. PreverbSandhi=>upavizWA, ScharfSandhi=>upavisTA
DBG: aBi-snA. PreverbSandhi=>aBiznA, ScharfSandhi=>aBisnA
DBG: ni-snA. PreverbSandhi=>niznA, ScharfSandhi=>nisnA
DBG: prati-snA. PreverbSandhi=>pratiznA, ScharfSandhi=>pratisnA
DBG: vi-snA. PreverbSandhi=>viznA, ScharfSandhi=>visnA
DBG: aBi-snih. PreverbSandhi=>aBiznih, ScharfSandhi=>aBisnih
DBG: ni-spand. PreverbSandhi=>nizpand, ScharfSandhi=>nispand
DBG: aBini-spand. PreverbSandhi=>aBinizpand, ScharfSandhi=>aBinispand
DBG: pari-spand. PreverbSandhi=>parizpand, ScharfSandhi=>parispand
DBG: vi-spand. PreverbSandhi=>vizpand, ScharfSandhi=>vispand
DBG: nis-spar. PreverbSandhi=>niHspar, ScharfSandhi=>nisspar
DBG: aDi-sparD. PreverbSandhi=>aDizparD, ScharfSandhi=>aDisparD
DBG: pari-sparD. PreverbSandhi=>parizparD, ScharfSandhi=>parisparD
DBG: prati-sparD. PreverbSandhi=>pratizparD, ScharfSandhi=>pratisparD
DBG: vi-sparD. PreverbSandhi=>vizparD, ScharfSandhi=>visparD
DBG: aDi-sparS. PreverbSandhi=>aDizparS, ScharfSandhi=>aDisparS
DBG: anu-sparS. PreverbSandhi=>anuzparS, ScharfSandhi=>anusparS
DBG: aBi-sparS. PreverbSandhi=>aBizparS, ScharfSandhi=>aBisparS
DBG: ni-sparS. PreverbSandhi=>nizparS, ScharfSandhi=>nisparS
DBG: pari-sparS. PreverbSandhi=>parizparS, ScharfSandhi=>parisparS
DBG: prati-spaS. PreverbSandhi=>pratizpaS, ScharfSandhi=>pratispaS
DBG: vi-spaS. PreverbSandhi=>vizpaS, ScharfSandhi=>vispaS
DBG: ni-sPar. PreverbSandhi=>nizPar, ScharfSandhi=>nisPar
DBG: pari-sPar. PreverbSandhi=>parizPar, ScharfSandhi=>parisPar
DBG: vi-sPar. PreverbSandhi=>vizPar, ScharfSandhi=>visPar
DBG: vi-sPal. PreverbSandhi=>vizPal, ScharfSandhi=>visPal
DBG: pari-sPuw. PreverbSandhi=>parizPuw, ScharfSandhi=>parisPuw
DBG: vi-sPuw. PreverbSandhi=>vizPuw, ScharfSandhi=>visPuw
DBG: anu-sPur. PreverbSandhi=>anuzPur, ScharfSandhi=>anusPur
DBG: ni-sPur. PreverbSandhi=>nizPur, ScharfSandhi=>nisPur
DBG: nis-sPur. PreverbSandhi=>niHsPur, ScharfSandhi=>nissPur
DBG: pari-sPur. PreverbSandhi=>parizPur, ScharfSandhi=>parisPur
DBG: prati-sPur. PreverbSandhi=>pratizPur, ScharfSandhi=>pratisPur
DBG: vi-sPur. PreverbSandhi=>vizPur, ScharfSandhi=>visPur
DBG: vi-sPul. PreverbSandhi=>vizPul, ScharfSandhi=>visPul
DBG: aBi-sPUrj. PreverbSandhi=>aBizPUrj, ScharfSandhi=>aBisPUrj
DBG: vi-sPUrj. PreverbSandhi=>vizPUrj, ScharfSandhi=>visPUrj
DBG: aBi-smi. PreverbSandhi=>aBizmi, ScharfSandhi=>aBismi
DBG: ku-smi. PreverbSandhi=>kuzmi, ScharfSandhi=>kusmi
DBG: pari-smi. PreverbSandhi=>parizmi, ScharfSandhi=>parismi
DBG: vi-smi. PreverbSandhi=>vizmi, ScharfSandhi=>vismi
DBG: anuvi-smi. PreverbSandhi=>anuvizmi, ScharfSandhi=>anuvismi
DBG: ati-syad. PreverbSandhi=>atizyad, ScharfSandhi=>atisyad
DBG: anu-syad. PreverbSandhi=>anuzyad, ScharfSandhi=>anusyad
DBG: aBi-syad. PreverbSandhi=>aBizyad, ScharfSandhi=>aBisyad
DBG: samaBi-syad. PreverbSandhi=>samaBizyad, ScharfSandhi=>samaBisyad
DBG: ni-syad. PreverbSandhi=>nizyad, ScharfSandhi=>nisyad
DBG: aBini-syad. PreverbSandhi=>aBinizyad, ScharfSandhi=>aBinisyad
DBG: nis-syad. PreverbSandhi=>niHsyad, ScharfSandhi=>nissyad
DBG: pari-syad. PreverbSandhi=>parizyad, ScharfSandhi=>parisyad
DBG: vi-syad. PreverbSandhi=>vizyad, ScharfSandhi=>visyad
DBG: anuvi-syad. PreverbSandhi=>anuvizyad, ScharfSandhi=>anuvisyad
DBG: aBivi-syad. PreverbSandhi=>aBivizyad, ScharfSandhi=>aBivisyad
DBG: ati-sraMs. PreverbSandhi=>atizraMs, ScharfSandhi=>atisraMs
DBG: aBi-sraMs. PreverbSandhi=>aBizraMs, ScharfSandhi=>aBisraMs
DBG: pari-sraMs. PreverbSandhi=>parizraMs, ScharfSandhi=>parisraMs
DBG: vi-sraMs. PreverbSandhi=>vizraMs, ScharfSandhi=>visraMs
DBG: anuvi-sraMs. PreverbSandhi=>anuvizraMs, ScharfSandhi=>anuvisraMs
DBG: ati-sru. PreverbSandhi=>atizru, ScharfSandhi=>atisru
DBG: samati-sru. PreverbSandhi=>samatizru, ScharfSandhi=>samatisru
DBG: aDi-sru. PreverbSandhi=>aDizru, ScharfSandhi=>aDisru
DBG: aBi-sru. PreverbSandhi=>aBizru, ScharfSandhi=>aBisru
DBG: ni-sru. PreverbSandhi=>nizru, ScharfSandhi=>nisru
DBG: nis-sru. PreverbSandhi=>niHsru, ScharfSandhi=>nissru
DBG: pari-sru. PreverbSandhi=>parizru, ScharfSandhi=>parisru
DBG: anupari-sru. PreverbSandhi=>anuparizru, ScharfSandhi=>anuparisru
DBG: vi-sru. PreverbSandhi=>vizru, ScharfSandhi=>visru
DBG: aBi-svaj. PreverbSandhi=>aBizvaj, ScharfSandhi=>aBisvaj
