122736 records from ../../../pwg/pywork/pwghw2.txt
1149416 records read from ../../../pwg/orig/pwg.txt
1209 filtered
ADJUST 178: 76901:naS:712603:pravi, °nazwaharza => pravi
ADJUST 179: 77106:nij:713876:nis, svaDarmanirRiktasattva => nis
ADJUST 180: 77584:nI:716880:samupa, taM yajYaM samupAnayan => samupa
ADJUST 181: 77894:paW:718863:anu, Sruto 'nupaWito DyAta Adfto vAnumoditaH => anu
ADJUST 182: 77910:pat:719046:sam, janaM saMpatitamasminbile => sam
ADJUST 183: 77945:pad:719286:samud, kroDaM samutpannam => samud
ADJUST 184: 77945:pad:719348:viprati, °panna => viprati
ADJUST 185: 78026:par:719850:ava, KAtvAvawaM proktajalAvapUrRam => ava
ADJUST 186: 78026:par:719860:pari, °pUrRa => pari
ADJUST 187: 78026:par:719876:sam, °pUrRa => sam
ADJUST 188: 78372:pA:721981:nis, bimbADare 'Ta nizpItanIrAge => nis
ADJUST 189: 78374:pA:722000:anUd, mUlaM vA atitizWadrakzAMsyanUtpipate => anUd
ADJUST 190: 78374:pA:722003:pratyud = ud => pratyud
ADJUST 191: 78653:pI:723701:ud, utpIna => ud
ADJUST 192: 78660:pIq:723761:nis, nizpIqyamAnAKilajIvamarmaRi => nis
ADJUST 193: 79695:prI:730011:A, AprItA => A
ADJUST 194: 79739:pluz:730341:vi, °pluzwa => vi
ADJUST 195: 79826:banD:731015:upani, °badDa => upani
ADJUST 196: 79854:barh:731308:upa, °vfMhita => upa
ADJUST 197: 79967:buD:732063:ud, udbudDa => ud
ADJUST 198: 80045:brU:732533:sam, samabruvan => sam
ADJUST 199: 80073:BaYj:732732:nis, pravahaRaM tasya nirbaBaYjurmahormayaH => nis
ADJUST 200: 80116:Barts:733030:ni, °Bartsayan => ni
ADJUST 201: 80138:BA:733165:A, ABAta => A
ADJUST 202: 80192:BAs:733546:ud, udBAsamAnaSItAMSu => ud
ADJUST 203: 80192:BAs:733551:prati, tezveko 'pi na yattasya tattulyaH pratyaBAsata => prati
ADJUST 204: 80201:Bid:733606:ud, vyAjoktirgopanaM vyAjAdudBinnasyApi vastunaH => ud
ADJUST 205: 80201:Bid:733613:pravi, °Binna => pravi
ADJUST 206: 80287:Bram:734218:pra, ambuDO . praBrematuH pravahaRe => pra
ADJUST 207: 80349:maT:734595:aDi, agnim => aDi
ADJUST 208: 80356:mad:734655:ud, unmatta => ud
ADJUST 209: 80442:mantray:735176:upa, upayantritA => upa
ADJUST 210: 80475:mar:735366:anu, na cedenamanumriye => anu
ADJUST 211: 80476:mar:735379:pra, pra da\to mf^RIhi => pra
ADJUST 212: 80489:marj:735468:pra, vadanaM pramArzwi => pra
ADJUST 213: 80502:marS:735550:pravi, °mfSya => pravi
ADJUST 214: 80692:miz:736705:ni, tvatkfte ca nimizyanti => ni
ADJUST 215: 80708:muc:736802:nis, nirmukta => nis
ADJUST 216: 80708:muc:736810:vi, vimukta => vi
ADJUST 217: 80782:mokzay:737253:vi, tasya me kfcCraBUtasya => vi
ADJUST 218: 80802:mluc:737373:ni, nimlocati viBAvasO => ni
ADJUST 219: 81510:yantray:744420:upa, °yantritA => upa
ADJUST 220: 81809:yas:748134:A, Ayasyati => A
ADJUST 221: 81809:yas:748186:ni, niyasya => ni
ADJUST 222: 81809:yas:748191:pra, °yasyati => pra
ADJUST 223: 81809:yas:748208:sam, saMyasyati => sam
ADJUST 224: 82188:yuj:754485:samupA, °yukta => samupA
ADJUST 225: 82188:yuj:754506:aBisamA, °yukta => aBisamA
ADJUST 226: 82188:yuj:754617:vyupa = upa => vyupa
ADJUST 227: 83007:raj:763206:anusam, BartAramanusaMraktA => anusam
ADJUST 228: 83544:raB:767895:vyA, °rabDa => vyA
ADJUST 229: 83558:ram:768639:prati, °rata => prati
ADJUST 230: 84779:riP:779652:ava, avariPantA ivottaravediM parIyAtAm => ava
